*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*- Log Messages From NEST Server Finished *-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-
*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*- Log Messages From NEST Server Finished *-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-
  -- 20Jul2019,10:25:11  --   CDS  MARKET ORDER  status  Status:open   BUY   USDINR19AUGFUT   Total QTY:1    Disc. QTY:0    Open QTY:1    Filled QTY:0    at Market Price   0.0000    DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000028   RequestId:1        ExchangeOrderNo: 1000000000001088   
  -- 20Jul2019,10:25:11  --   CDS  MARKET ORDER  fill  Status:complete   BUY   USDINR19AUGFUT   Total QTY:1    Disc. QTY:0    Open QTY:0    Filled QTY:1    at Market Price   0.0000    DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000028   RequestId:1        ExchangeOrderNo: 1000000000001088   
20-Jul-2019,10:25:14  -- 20-Jul-2019 10:25:11  -- Trade confirmed:   MARKET TradeQty:1 /1 of  USDINR19AUGFUTat  68.7225for CLI for  N62861 by N62861  NESTOrderNo: 190720000000028 Exchange:CDS ExchangeOrderNo:  1000000000001088 Trade Id: 562 ExchTimeStamp: 20-Jul-2019 10:25:14
  -- 20Jul2019,10:25:20  --   CDS  MARKET ORDER  status  Status:open   SELL   JPYINR19JULFUT   Total QTY:1    Disc. QTY:0    Open QTY:1    Filled QTY:0    at Market Price   0.0000    DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000029   RequestId:1        ExchangeOrderNo: 1000000000001093   
  -- 20Jul2019,10:25:20  --   CDS  LIMIT ORDER  market response  Status:open   SELL   JPYINR19JULFUT   Total QTY:1    Disc. QTY:0    Open QTY:1    Filled QTY:0    at 64.0050 DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000029   RequestId:1        ExchangeOrderNo: 1000000000001093   
  -- 20Jul2019,10:25:28  --   NFO  MARKET ORDER  status  Status:open   BUY   TCS19AUG2300CE   Total QTY:250    Disc. QTY:0    Open QTY:250    Filled QTY:0    at Market Price   0.00    DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000030   RequestId:1        ExchangeOrderNo: 1200000000002686   
  -- 20Jul2019,10:25:28  --   NFO  LIMIT ORDER  market response  Status:open   BUY   TCS19AUG2300CE   Total QTY:250    Disc. QTY:0    Open QTY:250    Filled QTY:0    at 7.50 DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000030   RequestId:1        ExchangeOrderNo: 1200000000002686   
  -- 20Jul2019,10:25:36  --   BSE  MARKET ORDER  status  Status:open   BUY   ONGC   Total QTY:1    Disc. QTY:0    Open QTY:1    Filled QTY:0    at Market Price   0.00    DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000031   RequestId:1        ExchangeOrderNo: 1563597283325001001   
  -- 20Jul2019,10:25:36  --   BSE  LIMIT ORDER  market response  Status:open   BUY   ONGC   Total QTY:1    Disc. QTY:0    Open QTY:1    Filled QTY:0    at 144.10 DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000031   RequestId:1        ExchangeOrderNo: 1563597283325001001   
  -- 20Jul2019,10:25:45  --   MCX  MARKET ORDER  failure  Status:rejected   Rejection Reason:   RMS:Bad Input   BUY   ALUMINIUM19AUGFUT   Total QTY:5    Disc. QTY:0    Open QTY:5    Filled QTY:0    at Market Price   0.00    DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000033   RequestId:1        ExchangeOrderNo: NA   
  -- 20Jul2019,10:30:21  --   NSE  MARKET ORDER  status  Status:open   BUY   TCS-EQ   Total QTY:10    Disc. QTY:0    Open QTY:10    Filled QTY:0    at Market Price   0.00    DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000043   RequestId:1        ExchangeOrderNo: 1300000000021614   
  -- 20Jul2019,10:30:21  --   NSE  LIMIT ORDER  market response  Status:open   BUY   TCS-EQ   Total QTY:10    Disc. QTY:0    Open QTY:10    Filled QTY:0    at 2104.20 DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000043   RequestId:1        ExchangeOrderNo: 1300000000021614   
  -- 20Jul2019,10:30:59  --   NSE  LIMIT ORDER  modify  Status:open   BUY   TCS-EQ   Total QTY:5    Disc. QTY:0    Open QTY:5    Filled QTY:0    at 2100.00 DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000043   RequestId:2        ExchangeOrderNo: 1300000000021614   
  -- 20Jul2019,10:31:23  --   NSE  LIMIT ORDER  cancel  Status:cancelled   BUY   TCS-EQ   Total QTY:5    Disc. QTY:0    Open QTY:5    Filled QTY:0    at 2100.00 DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000043   RequestId:3        ExchangeOrderNo: 1300000000021614   
  -- 20Jul2019,10:31:23  --   BSE  LIMIT ORDER  cancel  Status:cancelled   BUY   ONGC   Total QTY:1    Disc. QTY:0    Open QTY:1    Filled QTY:0    at 144.10 DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000031   RequestId:2        ExchangeOrderNo: 1563597283325001001   
  -- 20Jul2019,10:31:23  --   NFO  LIMIT ORDER  cancel  Status:cancelled   BUY   TCS19AUG2300CE   Total QTY:250    Disc. QTY:0    Open QTY:250    Filled QTY:0    at 7.50 DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000030   RequestId:2        ExchangeOrderNo: 1200000000002686   
  -- 20Jul2019,10:31:23  --   CDS  LIMIT ORDER  cancel  Status:cancelled   SELL   JPYINR19JULFUT   Total QTY:1    Disc. QTY:0    Open QTY:1    Filled QTY:0    at 64.0050 DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000029   RequestId:2        ExchangeOrderNo: 1000000000001093   
  -- 20Jul2019,10:32:06  --   NSE  MARKET ORDER  failure  Status:rejected   Rejection Reason:   RMS:Rule: Assigned basket  for entity account-N62861 across exchange across segment across product    BUY   RENUKA-EQ   Total QTY:10    Disc. QTY:0    Open QTY:10    Filled QTY:0    at Market Price   0.00    DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000051   RequestId:1        ExchangeOrderNo: NA   
  -- 20Jul2019,10:32:25  --   NSE  MARKET ORDER  status  Status:open   BUY   RENUKA-EQ   Total QTY:10    Disc. QTY:0    Open QTY:10    Filled QTY:0    at Market Price   0.00    DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000052   RequestId:1        ExchangeOrderNo: 1300000000025024   
  -- 20Jul2019,10:32:25  --   NSE  LIMIT ORDER  market response  Status:open   BUY   RENUKA-EQ   Total QTY:10    Disc. QTY:0    Open QTY:10    Filled QTY:0    at 8.75 DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000052   RequestId:1        ExchangeOrderNo: 1300000000025024   
  -- 20Jul2019,10:32:31  --   NSE  MARKET ORDER  status  Status:open   SELL   RELINFRA-EQ   Total QTY:10    Disc. QTY:0    Open QTY:10    Filled QTY:0    at Market Price   0.00    DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000053   RequestId:1        ExchangeOrderNo: 1300000000025187   
  -- 20Jul2019,10:32:31  --   NSE  MARKET ORDER  fill  Status:complete   SELL   RELINFRA-EQ   Total QTY:10    Disc. QTY:0    Open QTY:0    Filled QTY:10    at Market Price   0.00    DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000053   RequestId:1        ExchangeOrderNo: 1300000000025187   
20-Jul-2019,10:32:35  -- 20-Jul-2019 10:32:31  -- Trade confirmed:   MARKET TradeQty:10 /10 of  RELINFRA-EQat  45.00for CLI for  N62861 by N62861  NESTOrderNo: 190720000000053 Exchange:NSE ExchangeOrderNo:  1300000000025187 Trade Id: 75028153 ExchTimeStamp: 20-Jul-2019 10:32:35
  -- 20Jul2019,10:32:39  --   NSE  MARKET ORDER  status  Status:open   BUY   RELIGARE-EQ   Total QTY:10    Disc. QTY:0    Open QTY:10    Filled QTY:0    at Market Price   0.00    DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000054   RequestId:1        ExchangeOrderNo: 1300000000025383   
20-Jul-2019,10:32:42  -- 20-Jul-2019 10:32:39  -- Trade confirmed:   MARKET TradeQty:9 /10 of  RELIGARE-EQat  34.20for CLI for  N62861 by N62861  NESTOrderNo: 190720000000054 Exchange:NSE ExchangeOrderNo:  1300000000025383 Trade Id: 75028540 ExchTimeStamp: 20-Jul-2019 10:32:42
  -- 20Jul2019,10:32:39  --   NSE  LIMIT ORDER  market response  Status:open   BUY   RELIGARE-EQ   Total QTY:10    Disc. QTY:0    Open QTY:1    Filled QTY:9    at 34.20 DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000054   RequestId:1        ExchangeOrderNo: 1300000000025383   
  -- 20Jul2019,10:32:46  --   NSE  MARKET ORDER  status  Status:open   SELL   RELIANCE-EQ   Total QTY:10    Disc. QTY:0    Open QTY:10    Filled QTY:0    at Market Price   0.00    DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000055   RequestId:1        ExchangeOrderNo: 1300000000025545   
  -- 20Jul2019,10:32:46  --   NSE  MARKET ORDER  fill  Status:complete   SELL   RELIANCE-EQ   Total QTY:10    Disc. QTY:0    Open QTY:0    Filled QTY:10    at Market Price   0.00    DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000055   RequestId:1        ExchangeOrderNo: 1300000000025545   
20-Jul-2019,10:32:49  -- 20-Jul-2019 10:32:46  -- Trade confirmed:   MARKET TradeQty:10 /10 of  RELIANCE-EQat  1320.10for CLI for  N62861 by N62861  NESTOrderNo: 190720000000055 Exchange:NSE ExchangeOrderNo:  1300000000025545 Trade Id: 75028849 ExchTimeStamp: 20-Jul-2019 10:32:49
  -- 20Jul2019,10:32:57  --   NSE  MARKET ORDER  failure  Status:rejected   Rejection Reason:   RMS:Rule: Check T1 holdings including TT/BE/Z/T/TS ,No Holdings Present  for entity account-N62861 across exchange across segment across product    SELL   TCS-EQ   Total QTY:10    Disc. QTY:0    Open QTY:10    Filled QTY:0    at Market Price   0.00    DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000056   RequestId:1        ExchangeOrderNo: NA   
  -- 20Jul2019,10:33:05  --   NSE  MARKET ORDER  status  Status:open   SELL   TCS-EQ   Total QTY:10    Disc. QTY:0    Open QTY:10    Filled QTY:0    at Market Price   0.00    DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000057   RequestId:1        ExchangeOrderNo: 1300000000025935   
  -- 20Jul2019,10:33:05  --   NSE  MARKET ORDER  fill  Status:complete   SELL   TCS-EQ   Total QTY:10    Disc. QTY:0    Open QTY:0    Filled QTY:10    at Market Price   0.00    DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000057   RequestId:1        ExchangeOrderNo: 1300000000025935   
20-Jul-2019,10:33:09  -- 20-Jul-2019 10:33:05  -- Trade confirmed:   MARKET TradeQty:10 /10 of  TCS-EQat  2081.50for CLI for  N62861 by N62861  NESTOrderNo: 190720000000057 Exchange:NSE ExchangeOrderNo:  1300000000025935 Trade Id: 75029306 ExchTimeStamp: 20-Jul-2019 10:33:09
  -- 20Jul2019,10:33:13  --   NSE  MARKET ORDER  failure  Status:rejected   Rejection Reason:   RMS:Rule: Check T1 holdings including TT/BE/Z/T/TS ,No Holdings Present  for entity account-N62861 across exchange across segment across product    SELL   RENUKA-EQ   Total QTY:10    Disc. QTY:0    Open QTY:10    Filled QTY:0    at Market Price   0.00    DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000059   RequestId:1        ExchangeOrderNo: NA   
  -- 20Jul2019,10:33:19  --   NSE  MARKET ORDER  status  Status:open   BUY   RENUKA-EQ   Total QTY:10    Disc. QTY:0    Open QTY:10    Filled QTY:0    at Market Price   0.00    DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000061   RequestId:1        ExchangeOrderNo: 1300000000026284   
  -- 20Jul2019,10:33:19  --   NSE  LIMIT ORDER  market response  Status:open   BUY   RENUKA-EQ   Total QTY:10    Disc. QTY:0    Open QTY:10    Filled QTY:0    at 8.75 DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000061   RequestId:1        ExchangeOrderNo: 1300000000026284   
  -- 20Jul2019,10:33:25  --   NSE  MARKET ORDER  status  Status:open   BUY   RENUKA-EQ   Total QTY:10    Disc. QTY:0    Open QTY:10    Filled QTY:0    at Market Price   0.00    DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000063   RequestId:1        ExchangeOrderNo: 1300000000026480   
  -- 20Jul2019,10:33:25  --   NSE  LIMIT ORDER  market response  Status:open   BUY   RENUKA-EQ   Total QTY:10    Disc. QTY:0    Open QTY:10    Filled QTY:0    at 8.75 DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000063   RequestId:1        ExchangeOrderNo: 1300000000026480   
  -- 20Jul2019,10:33:34  --   NSE  MARKET ORDER  status  Status:open   BUY   RENUKA-EQ   Total QTY:10    Disc. QTY:0    Open QTY:10    Filled QTY:0    at Market Price   0.00    DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000064   RequestId:1        ExchangeOrderNo: 1300000000026703   
  -- 20Jul2019,10:33:34  --   NSE  LIMIT ORDER  market response  Status:open   BUY   RENUKA-EQ   Total QTY:10    Disc. QTY:0    Open QTY:10    Filled QTY:0    at 8.75 DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000064   RequestId:1        ExchangeOrderNo: 1300000000026703   
