,Order Id,Mode,Order Category,Market,Symbol,Inst Type,Expiry,Opt Type,Strike,Filled Qty,Filled Price,Status,Exch Order Id,Trade Id,Parent Cl Code,Child Cl Code,Part Code,Time,GTD Date,Product,
,190803000000265,Buy,Single,BSECM,TATACOMM,Common Stock,,,,1,467.00,FILLED,1564806705747018675,85700,V69210,V69210,,03Aug2019 11:26:59,,MIS,
,190803000000222,Buy,Single,BSECM,TATACOMM,Common Stock,,,,1,467.00,FILLED,1564806705747005640,10400,V69210,V69210,,03Aug2019 11:16:53,,CNC,
,190803000000220,Buy,Single,NSEFO,BANKNIFTY19AUGFUT,Future,29/08/2019,,,20,29829.95,FILLED,1400000000006781,50002184,V69210,V69210,,03Aug2019 11:16:27,,NRML,
,190803000000211,Buy,Single,NCDEX,COTTON18OCT2019,Future,18/10/2019,,,1,21070.00,FILLED,O0ewlsATBSJw,T9urExCeUs,V69210,V69210,,03Aug2019 11:12:07,,MIS,
,190803000000032,Buy,Single,NSECDS,USDINR19SEPFUT,Future,26/09/2019,,,1,71.0025,FILLED,1000000000000133,19,V69210,V69210,,03Aug2019 10:05:20,,MARGIN,
,190803000000080,Buy,Single,NCDEX,GUARSEED1020SEP2019,Future,20/09/2019,,,10,4366.00,FILLED,O0ewlsATBCNk,T9urExCZpx,V69210,V69210,,03Aug2019 10:20:07,,MIS,
,190803000000104,Buy,Single,NCDEX,COTTON18OCT2019,Future,18/10/2019,,,1,21080.00,FILLED,O0ewlsATBCkw,T9urExCZuB,V69210,V69210,,03Aug2019 10:26:50,,MIS,
,190803000000314,Buy,Single,NSECM,YESBANK-EQ,Common Stock,,,,1,93.00,FILLED,1300000000157325,75149661,V69210,V69210,,03Aug2019 11:42:53,,CNC,
,190803000000367,Buy,Single,NSEFO,NIFTY19AUGFUT,Future,29/08/2019,,,75,11450.00,FILLED,1100000000129997,31271127,V69210,V69210,,03Aug2019 11:57:18,,NRML,
,190803000000040,Buy,Single,NCDEX,COCUDAKL20AUG2019,Future,20/08/2019,,,10,3311.00,FILLED,O0ewlsBdqYwL,T9urExUB8j,V69210,V69210,,03Aug2019 10:10:17,,MARGIN,
,190803000000265,Buy,Single,BSECM,TATACOMM,Common Stock,,,,3,467.00,FILLED,1564806705747018675,66000,V69210,V69210,,03Aug2019 11:25:55,,MIS,
,190803000000092,Buy,Single,NCDEX,KAPAS29NOV2019,Future,29/11/2019,,,1,1140.50,FILLED,O0ewlsATBCSq,T9urExCZqq,V69210,V69210,,03Aug2019 10:21:29,,MIS,
